ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Is_Pre_PQ,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Freight_Cost_per_KG,Freight_Pct_of_Value,Delivery_Variance_Days,Data_Subset,Mode_Clean,,,
262,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,N/A,1,,11/12/2007,1/29/2008,1/29/2008,1/29/2008,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Zidovudine,Retrovir,10mg/ml,Oral solution,200,40,317.6,7.94,0.04,GSK Mississauga (Canada),Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.51,#VALUE!,#VALUE!,0,Non-Billable,N/A,,,
269,108-VN-T01,Pre-PQ Process,SCMS-14190,ASN-1192,Vietnam,PMO - US,Direct Drop,EXW,Air,1,,11/19/2007,1/21/2008,1/21/2008,1/21/2008,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000,17,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76,2282.57,27.2,30.03381579,13.42688235,0,Billable,AIR,,,
270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,PMO - US,Direct Drop,EXW,Air,1,,11/21/2007,1/21/2008,1/21/2008,1/21/2008,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23,2149.05,5.36,93.43695652,64.11247017,0,Billable,AIR,,,
284,107-RW-T01,Pre-PQ Process,SCMS-14630,ASN-1253,Rwanda,PMO - US,Direct Drop,EXW,Air,1,,12/10/2007,1/31/2008,1/31/2008,1/31/2008,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,1500,15,0.01,0,Inverness Japan,Yes,99,0.75,0.02,0.007575758,5,0,Billable,AIR,,,
305,123-NG-T01,Pre-PQ Process,SCMS-15550,ASN-1269,Nigeria,PMO - US,Direct Drop,EXW,Air,1,,,2/5/2008,2/5/2008,2/5/2008,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,650,6.5,0.01,0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0.01,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
343,116-ZA-T01,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,PMO - US,Direct Drop,DDP,N/A,1,,1/4/2008,1/21/2008,1/4/2008,1/4/2008,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,200,340,1.7,0.01,"BMS Meymac, France",Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.54,#VALUE!,#VALUE!,-17,Non-Billable,N/A,,,
361,125-HT-T01,Pre-PQ Process,SCMS-14080,ASN-1318,Haiti,PMO - US,Direct Drop,EXW,Air,1,,,2/18/2008,2/18/2008,2/18/2008,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,N/A,Test kit,100,2,278,139,1.39,"Trinity Biotech, Plc",Yes,Weight Captured Separately,Invoiced Separately,0.44,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
391,104-CI-T01,Pre-PQ Process,SCMS-18290,ASN-1879,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,1,,2/27/2008,6/17/2008,6/17/2008,6/17/2008,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,N/A,Test kit,40,476,36176,76,1.9,Bio-Rad Laboratories,Yes,509,5446.51,57.88,10.70041257,15.05558934,0,Billable,AIR,,,
392,104-CI-T01,Pre-PQ Process,SCMS-18310,ASN-3435,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,1,,3/3/2008,3/19/2009,3/19/2009,3/19/2009,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,659,13180,20,0.8,"Standard Diagnostics, Korea",Yes,206,2656.12,25.83,12.89378641,20.15265554,0,Billable,AIR,,,
398,102-GY-T01,Pre-PQ Process,SCMS-18480,ASN-1502,Guyana,PMO - US,Direct Drop,EXW,Air,1,,2/28/2008,4/9/2008,4/1/2008,4/1/2008,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,240,2.4,0.01,0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0,#VALUE!,#VALUE!,-8,Non-Billable,AIR,,,
399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,PMO - US,Direct Drop,EXW,Air,1,,2/28/2008,7/28/2008,7/28/2008,7/28/2008,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,213,2.13,0.01,0,Inverness Japan,Yes,14,360,0,25.71428571,16901.40845,0,Billable,AIR,,,
400,117-ET-T01,Pre-PQ Process,SCMS-18430,ASN-1465,Ethiopia,PMO - US,Direct Drop,DDP,N/A,1,,2/29/2008,3/11/2008,3/11/2008,3/11/2008,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,N/A,Test kit,100,63,13399.25,212.69,2.13,"Trinity Biotech, Plc",Yes,Weight Captured Separately,Freight Included in Commodity Cost,21.44,#VALUE!,#VALUE!,0,Non-Billable,N/A,,,
410,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2434,Zimbabwe,PMO - US,Direct Drop,EXW,Air,1,,3/17/2008,11/17/2008,11/17/2008,11/17/2008,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,Yes,373,4112.46,188.21,11.02536193,3.496048598,0,Billable,AIR,,,
411,123-NG-T01,Pre-PQ Process,SCMS-18940,ASN-1467,Nigeria,PMO - US,Direct Drop,EXW,Air,1,,3/13/2008,4/17/2008,4/17/2008,4/17/2008,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,1425,38475,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,483,5468.88,61.56,11.32273292,14.21411306,0,Billable,AIR,,,
414,119-NA-T01,Pre-PQ Process,SCMS-19130,ASN-1798,Namibia,PMO - US,Direct Drop,EXW,Air,1,,3/18/2008,6/4/2008,6/4/2008,6/4/2008,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,142,10222.58,71.99,0.72,Inverness Japan,Yes,33,1715.17,16.36,51.97484848,16.77824972,0,Billable,AIR,,,
420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,Air,1,,3/31/2008,6/3/2008,6/3/2008,6/3/2008,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,96432,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654,4051.34,154.29,6.19470948,4.201240252,0,Billable,AIR,,,
422,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,1,,2/20/2008,4/24/2008,4/24/2008,4/24/2008,ARV,Adult,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,6,405.06,67.51,0.25,Roche Basel,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.65,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
